,image,MSE,PSNR,SSIM
127,he88875,78.98377990722656,29.018668547385175,0.57947963
128,he88876,61.87183125813802,30.02264808597718,0.6532487
129,he88884,309.48769124348956,22.939035234501016,0.5827044
130,he88885,391.4903971354167,21.932463835966672,0.5584983
131,he88892,305.1734212239583,23.243548006892084,0.4666932
132,he88893,373.6883951822917,22.311089850152047,0.45448616
133,he88894,269.08575439453125,23.752598110518996,0.53639644
134,he88898,266.76381429036456,23.865642845460165,0.42323375
135,he88899,312.0409749348958,22.981518249300347,0.48738313
136,he88924,72.30767313639323,29.56374273201479,0.64840025
137,he88925,178.83428955078125,25.686893343244677,0.6330073
138,he88930,87.15480550130208,28.4771203800127,0.64994144
139,he88931,50.00435892740885,30.93389067511299,0.6745367
140,he88942,435.167724609375,21.541615885878013,0.5067267
141,he88943,348.6771647135417,22.80812790569872,0.41563642
142,he88944,425.2320149739583,21.75582294483557,0.48520008
143,he88945,458.6366780598958,21.356342076127707,0.51682913
144,he88946,262.3702799479167,23.880355261620423,0.4563968
145,he88947,304.09584554036456,23.26029804870165,0.46841684
146,he88948,217.4881795247396,24.924088770710625,0.47259533
147,he88949,243.49446614583334,24.15939776906695,0.43319502
148,he88952,269.52915445963544,23.959373701937174,0.4658788
149,he88953,266.7796630859375,23.998271660415206,0.45834813
150,he88977,101.7096455891927,28.303942531796686,0.6464225
151,he88996,567.5779622395834,20.51307328419684,0.50930256
152,he88997,342.1566569010417,22.755187695960633,0.43119693
153,he89000,274.8160807291667,23.811308384799077,0.43329564
154,he89001,334.2275797526042,22.76842203658257,0.5139057
155,he89002,193.1083984375,25.501766390069065,0.48808816
156,he89003,146.1092732747396,26.51291189341771,0.458786
157,he89005,290.9688313802083,23.553341155244762,0.47252417
158,he89006,266.45322672526044,24.069362022647347,0.4410553
159,he89007,252.68436686197916,24.13621337659107,0.45150247
160,he89034,537.0565185546875,20.79953264748671,0.56662863
161,he89050,582.9945068359375,20.533546190240397,0.5066308
162,he89051,345.6370849609375,22.61938581578171,0.50653815
163,he89052,412.1538492838542,21.89832048714181,0.45282903
164,he89054,269.01670328776044,23.984093005150736,0.43109858
165,he89055,279.78297932942706,23.670187450310998,0.46403837
166,he89056,216.63472493489584,24.808305439512747,0.50397915
167,he89058,212.19563802083334,24.99429852574461,0.49142873
168,he89059,238.2033894856771,24.175769867588357,0.522045
169,he89060,261.494873046875,23.923400824713017,0.46762905
170,he89061,284.9251708984375,23.666283741673023,0.42582107
171,he89085,170.143798828125,25.600991811489394,0.5902879
172,he89090,247.87626139322916,24.1109476741454,0.56801915
173,he89104,445.1057535807292,21.61231071832404,0.4740344
174,he89105,373.6973876953125,22.343864962876793,0.5413702
175,he89107,185.35274251302084,25.600192831516154,0.37994608
176,he89108,217.45320638020834,24.783459814579988,0.39819393
177,he89109,205.89982096354166,25.01552548942946,0.37339583
178,he89110,205.99662272135416,24.975602634029453,0.4424076
179,he89111,192.79833984375,25.24340891821796,0.49885166
180,he89112,244.51123046875,24.241881717363295,0.44510984
181,he89113,263.43080647786456,23.84851862016401,0.41929963
182,he89115,242.36088053385416,24.09427454603736,0.4624237
183,he89116,371.515380859375,22.452697945663964,0.46833017
184,he89138,169.08910115559897,25.739470993730617,0.6331737
185,he89144,242.63692220052084,24.090804652402387,0.53537256
186,he89160,578.2193196614584,20.20229099655136,0.5963567
187,he89161,207.99542236328125,25.535106059823374,0.43705073
188,he89162,111.96274820963542,27.856991135714004,0.29062822
189,he89163,199.31536865234375,25.035291051027222,0.3756907
190,he89164,178.26436360677084,25.72335818009803,0.39022568
191,he89165,213.13777669270834,24.95541082804879,0.45662177
192,he89166,239.07564290364584,24.38630295660364,0.4562756
193,he89167,273.9752604166667,23.806212180049915,0.46739665
194,he89170,408.995849609375,22.0026127035501,0.48463917
195,he89192,162.53474934895834,26.105502395588047,0.66932243
196,he89194,371.4117431640625,22.247466828297142,0.5162582
197,he89196,453.54736328125,21.29166379141024,0.5095045
198,he89197,478.652587890625,21.288718585733864,0.49211302
199,he89198,280.57680257161456,23.831577880496756,0.4967165
200,he89215,176.54789225260416,26.009749691870205,0.6257351
201,he89216,262.47397867838544,23.759005621289056,0.51051074
202,he89217,196.92769368489584,25.07484688405423,0.4022574
203,he89218,234.62044270833334,24.410685142597348,0.36096296
204,he89219,242.4327392578125,24.23806665066923,0.4186287
205,he89220,182.72564697265625,25.49189550893862,0.34287143
206,he89221,225.92867024739584,24.61334813333113,0.3866379
207,he89222,149.25049845377603,26.259019161040484,0.48308578
208,he89224,539.5171305338541,20.880947777029686,0.52878886
209,he89247,311.3432210286458,23.581832336042208,0.547781
210,he89248,347.478515625,22.675334994373586,0.5075602
211,he89250,394.3782145182292,22.18239038264361,0.47634968
212,he89251,494.4869791666667,21.184508777051914,0.46754453
213,he89252,431.9268391927083,21.75229239002436,0.5120131
214,he89257,339.8045247395833,22.60827474750475,0.59485435
215,he89269,140.85066731770834,26.34984399281433,0.62297374
216,he89271,106.26681518554688,27.38547705004423,0.5993882
217,he89272,191.34977213541666,25.081374866981918,0.4640777
218,he89273,147.3946736653646,26.498314989926556,0.38667777
219,he89274,167.48358154296875,25.97924962587804,0.39753017
220,he89275,184.6580607096354,25.50483795428147,0.37338626
221,he89276,146.14643351236978,26.300825404822753,0.43067536
222,he89277,347.0584716796875,22.59305634950385,0.62006813
223,he89278,480.6398111979167,21.48036774217198,0.5073561
224,he89307,341.9409586588542,22.57887241284952,0.53871995
225,he89324,191.8275146484375,25.388206540029657,0.59802955
226,he89325,152.70072428385416,26.61797186879596,0.60925347
227,he89326,62.90503946940104,30.108546842929137,0.63225704
228,he89327,138.3211466471354,26.46257523146964,0.5795792
229,he89328,128.2072957356771,27.136025379494857,0.40963736
230,he89329,226.6714884440104,24.571593483430505,0.33742738
231,he89330,204.21455891927084,25.327932022549874,0.4674262
232,he89331,533.4292805989584,20.697061678157418,0.6038085
233,he89332,423.739013671875,21.674571748040705,0.51548415
234,he89351,391.664306640625,22.142452548062845,0.59964204
235,he89357,294.5077718098958,23.313862052239287,0.54186994
236,he89362,333.0108235677083,22.915763601046827,0.5910372
237,he89378,636.2717692057291,20.004905945335164,0.57727474
238,he89383,180.8924357096354,25.416707393037264,0.5505531
239,he89405,452.6425374348958,21.531471953411838,0.5808997
240,he89406,234.35746256510416,24.459444885369255,0.58478844
241,he89409,387.5220947265625,22.042729912882287,0.5601267
242,he89410,497.8716227213542,21.01137065531885,0.6095395
243,he89435,27.127212524414062,33.566566018836454,0.6491141
244,he89436,37.44188944498698,32.12982561714632,0.6809214
245,he89437,141.8577880859375,26.210759896251098,0.64501727
246,he89457,143.90362548828125,26.561385569438723,0.51690227
247,he89458,83.80406697591145,29.61722434776525,0.60453963
248,he89459,195.75105794270834,24.947540403887515,0.5747213
249,he89460,289.6702473958333,23.448397486976333,0.50634164
250,he89461,118.918701171875,27.81404718114078,0.6087053
251,he89464,492.0162760416667,21.306295945401352,0.60332453
252,he89469,565.285400390625,20.593939500955393,0.5979416
253,he89488,539.0304361979166,20.799154838083016,0.5912116
254,he89489,408.6569417317708,22.0769704980526,0.53462344
255,he89490,383.4400227864583,22.284080588927353,0.59552497
256,he89511,115.73874918619792,27.545910793318143,0.32470468
257,he89512,95.47831217447917,28.2320673619634,0.5152454
