,image,criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality
44,he84192,iou,0.5,12,15,35,0.5555555555555556,0.3,0.24193548387096775,0.38961038961038963,50,27,0.18326179504394532,0.6108726501464844,0.238002331225903
45,he84193,iou,0.5,25,18,46,0.4186046511627907,0.28125,0.20224719101123595,0.3364485981308411,64,43,0.18731801211833954,0.666019598642985,0.22408136029109776
46,he84194,iou,0.5,21,14,51,0.4,0.2153846153846154,0.16279069767441862,0.28,65,35,0.13929534325232873,0.646728379385812,0.18108394622802734
47,he84195,iou,0.5,24,17,56,0.4146341463414634,0.2328767123287671,0.17525773195876287,0.2982456140350877,73,41,0.1499209599952175,0.6437782399794635,0.19200403648510314
48,he84196,iou,0.5,24,20,72,0.45454545454545453,0.21739130434782608,0.1724137931034483,0.29411764705882354,92,44,0.151087356650311,0.6950018405914307,0.20441230605630314
49,he8419,iou,0.5,9,27,221,0.75,0.10887096774193548,0.10505836575875487,0.19014084507042253,248,36,0.06979327817117015,0.6410641846833406,0.1218924858200718
50,he8420,iou,0.5,35,63,108,0.6428571428571429,0.3684210526315789,0.3058252427184466,0.4684014869888476,171,98,0.24698882075081094,0.6703982277522011,0.3140155267538191
51,he8421,iou,0.5,40,66,93,0.6226415094339622,0.41509433962264153,0.3316582914572864,0.4981132075471698,159,106,0.2735663120101833,0.6590461152972598,0.32827957441221994
52,he84230,iou,0.5,27,26,59,0.49056603773584906,0.3058823529411765,0.23214285714285715,0.37681159420289856,85,53,0.20110707002527572,0.6574654212364783,0.24774059350939764
53,he84231,iou,0.5,71,29,79,0.29,0.26851851851851855,0.16201117318435754,0.27884615384615385,108,100,0.1697014702690972,0.6319916823814655,0.17622844989483172
54,he84232,iou,0.5,22,18,44,0.45,0.2903225806451613,0.21428571428571427,0.35294117647058826,62,40,0.19834172341131395,0.6831770473056369,0.2411213108137542
