,image,MSE,PSNR,SSIM
286,he89627,139.41748046875,26.583856971373013,0.6634529
287,he89647,503.589111328125,21.031473970864802,0.7077938
288,he89648,423.6713053385417,21.834995252111767,0.6411601
289,he89649,421.3334147135417,21.842675532201923,0.62167317
290,he89650,303.05482991536456,23.27582657595434,0.6496169
291,he89651,345.4391276041667,22.844960692501335,0.61008435
292,he89652,420.8118489583333,22.09554445151619,0.66353095
293,he89653,286.4287109375,23.755629114056376,0.6184297
294,he89672,160.5312703450521,26.075891806146963,0.4452516
295,he89673,189.15279134114584,25.246376360351775,0.6072679
296,he89674,147.82036336263022,26.704225060386495,0.6130263
297,he89677,233.89192708333334,24.138172466933256,0.61728436
298,he89678,156.90970865885416,26.152440956119094,0.6188659
299,he89680,135.04818725585938,26.67580716970501,0.6473399
300,he896,247.95267740885416,24.198563463338388,0.5696859
301,he89701,527.7261149088541,20.95473591614008,0.6658426
302,he89702,432.9645589192708,21.68997721213949,0.6655012
303,he89703,371.8833821614583,22.3453169757115,0.65338945
304,he89704,116.68810017903645,28.08141689403714,0.64208937
305,he89705,334.3614095052083,22.916786022849042,0.63914174
306,he89706,467.0972086588542,21.680937602145704,0.61789155
307,he89707,486.7775065104167,21.20583795554544,0.6455688
308,he89726,154.21942138671875,25.981307392199273,0.4666301
309,he89727,177.94559733072916,25.796486885283475,0.45004866
310,he89728,290.1562906901042,23.396281857229564,0.60740536
311,he89729,209.20894368489584,24.902659449369622,0.582841
312,he89730,307.9906819661458,23.23696627828212,0.6035821
313,he89731,283.9106852213542,23.550823373484736,0.59811884
314,he89732,278.0856119791667,23.63739510322425,0.5905011
315,he89733,70.2930196126302,30.469155395189503,0.7250387
316,he89756,394.6310221354167,22.392649156226714,0.65109295
317,he89757,359.3190104166667,22.807439633504156,0.6367251
318,he89758,300.0554606119792,23.54224792230152,0.65274847
319,he89759,387.6663004557292,22.30035501452798,0.65585643
320,he89760,495.4849853515625,21.099850230336816,0.6652549
321,he89761,227.97269694010416,25.006517041110957,0.65415686
322,he89762,195.67508951822916,25.235784296161384,0.5810729
323,he89781,183.68900553385416,25.392574002343604,0.48332286
324,he89782,248.897705078125,24.06377866969724,0.6142993
325,he89783,179.06156412760416,25.426663579778754,0.59949195
326,he89784,266.62188720703125,23.99842059021887,0.6098017
327,he897,119.89357503255208,27.45029265122988,0.56417686
328,he89809,320.64068603515625,23.025473363496005,0.61693424
329,he89810,322.0994059244792,22.923726340258636,0.6277063
330,he89811,416.7789713541667,21.890792318128433,0.639807
331,he89812,304.873046875,23.719071511876884,0.6297877
332,he89813,310.5452473958333,23.768251911131898,0.64077044
333,he89814,473.565185546875,21.680460979753107,0.6602313
334,he89815,306.5093180338542,23.32269597555578,0.7050583
335,he89816,172.37418619791666,25.356838509852963,0.6332368
336,he89838,105.41978963216145,28.330846917155647,0.64327645
337,he89839,182.7411092122396,25.724103234381076,0.6117809
338,he89863,45.53436279296875,31.836924783264877,0.67274404
339,he89866,169.36986287434897,25.98012915623476,0.6559318
340,he89867,269.9517822265625,23.70965291093384,0.6597989
341,he89868,287.47760009765625,23.74334499684762,0.71551114
342,he89869,396.1559244791667,21.95583325307159,0.63590604
