,image,criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality
11,he84065,iou,0.5,98,50,16,0.33783783783783783,0.7575757575757576,0.3048780487804878,0.4672897196261682,66,148,0.5472735780658144,0.722401123046875,0.33757061824620327
12,he84066,iou,0.5,70,30,15,0.3,0.6666666666666666,0.2608695652173913,0.41379310344827586,45,100,0.5129252539740669,0.7693878809611002,0.3183673990183863
13,he84067,iou,0.5,29,13,7,0.30952380952380953,0.65,0.2653061224489796,0.41935483870967744,20,42,0.4820426940917969,0.7416041447566106,0.3109952865108367
14,he84068,iou,0.5,43,24,10,0.3582089552238806,0.7058823529411765,0.3116883116883117,0.4752475247524752,34,67,0.518735829521628,0.734875758488973,0.34924788522248223
15,he84071,iou,0.5,123,73,22,0.37244897959183676,0.7684210526315789,0.3348623853211009,0.5017182130584192,95,196,0.5697945042660362,0.7415133959626499,0.3720307759812607
16,he84092,iou,0.5,30,14,8,0.3181818181818182,0.6363636363636364,0.2692307692307692,0.42424242424242425,22,44,0.4950952096418901,0.7780067580086845,0.3300634730945934
17,he84093,iou,0.5,30,25,16,0.45454545454545453,0.6097560975609756,0.352112676056338,0.5208333333333334,41,55,0.47144941004311164,0.7731770324707031,0.4026963710784912
18,he84094,iou,0.5,61,75,26,0.5514705882352942,0.7425742574257426,0.46296296296296297,0.6329113924050633,101,136,0.5270679209491994,0.7097848002115885,0.4492308862098662
19,he84095,iou,0.5,34,62,12,0.6458333333333334,0.8378378378378378,0.5740740740740741,0.7294117647058823,74,96,0.620749705546611,0.7408948098459551,0.5404173907111672
20,he84096,iou,0.5,7,5,7,0.4166666666666667,0.4166666666666667,0.2631578947368421,0.4166666666666667,12,12,0.3093400001525879,0.7424160003662109,0.3093400001525879
21,he84104,iou,0.5,55,154,25,0.7368421052631579,0.8603351955307262,0.6581196581196581,0.7938144329896907,179,209,0.6521827228908432,0.7580565415419541,0.6017562236982522
22,he84105,iou,0.5,129,116,36,0.47346938775510206,0.7631578947368421,0.4128113879003559,0.5843828715365239,152,245,0.5633837047376131,0.7382269234492861,0.4314071693708674
23,he84106,iou,0.5,82,66,37,0.44594594594594594,0.6407766990291263,0.3567567567567568,0.5258964143426295,103,148,0.4778864221665466,0.745792446714459,0.3922095735709506
24,he84107,iou,0.5,61,58,21,0.48739495798319327,0.7341772151898734,0.4142857142857143,0.5858585858585859,79,119,0.5577327873133406,0.7596705206509294,0.44505949694700914
25,he84108,iou,0.5,64,52,12,0.4482758620689655,0.8125,0.40625,0.5777777777777777,64,116,0.5848129987716675,0.7197698446420523,0.4158670213487413
26,he84109,iou,0.5,53,38,7,0.4175824175824176,0.8444444444444444,0.3877551020408163,0.5588235294117647,45,91,0.611532719930013,0.724183484127647,0.4046907705419204
27,he84110,iou,0.5,70,37,10,0.34579439252336447,0.7872340425531915,0.3162393162393162,0.4805194805194805,47,107,0.5720651099022399,0.7266773017677101,0.34918259955071784
28,he84111,iou,0.5,59,46,14,0.4380952380952381,0.7666666666666667,0.3865546218487395,0.5575757575757576,60,105,0.5620241165161133,0.7330749345862347,0.40874481201171875
29,he84112,iou,0.5,61,62,12,0.5040650406504065,0.8378378378378378,0.45925925925925926,0.6294416243654822,74,123,0.6163247082684491,0.7356133614816973,0.46302566915599225
30,he84113,iou,0.5,70,106,25,0.6022727272727273,0.8091603053435115,0.527363184079602,0.6905537459283387,131,176,0.6030632193761928,0.7452951107385024,0.5146663305425488
31,he84136,iou,0.5,55,66,29,0.5454545454545454,0.6947368421052632,0.44,0.6111111111111112,95,121,0.5215626766807154,0.7507341558283026,0.458781984117296
32,he84137,iou,0.5,14,20,4,0.5882352941176471,0.8333333333333334,0.5263157894736842,0.6896551724137931,24,34,0.624075730641683,0.7488908767700195,0.5164764667379445
33,he84147,iou,0.5,79,147,25,0.6504424778761062,0.8546511627906976,0.5856573705179283,0.7386934673366834,172,226,0.642633970393691,0.7519254619572439,0.5554424266719339
34,he84148,iou,0.5,32,40,14,0.5555555555555556,0.7407407407407407,0.46511627906976744,0.6349206349206349,54,72,0.5594572844328703,0.755267333984375,0.4795348152281746
35,he84150,iou,0.5,21,33,17,0.6111111111111112,0.66,0.4647887323943662,0.6346153846153846,50,54,0.4973257064819336,0.7535237976998994,0.4781977946941669
36,he84152,iou,0.5,120,79,36,0.3969849246231156,0.6869565217391305,0.33617021276595743,0.5031847133757962,115,199,0.5129779649817425,0.746740075606334,0.37574819091019357
37,he84153,iou,0.5,130,78,24,0.375,0.7647058823529411,0.33620689655172414,0.5032258064516129,102,208,0.5498102225509345,0.7189825987204527,0.3618105980657762
38,he84154,iou,0.5,110,86,15,0.4387755102040816,0.8514851485148515,0.4075829383886256,0.5791245791245792,101,196,0.6242738855947362,0.7331588656403297,0.4245903194954098
39,he8415,iou,0.5,74,60,19,0.44776119402985076,0.759493670886076,0.39215686274509803,0.5633802816901409,79,134,0.5597980837278729,0.7370674769083659,0.41524928276527656
40,he8416,iou,0.5,98,84,34,0.46153846153846156,0.711864406779661,0.3888888888888889,0.56,118,182,0.503809686434471,0.7077326547531855,0.3963302866617839
41,he8417,iou,0.5,164,106,33,0.3925925925925926,0.762589928057554,0.34983498349834985,0.5183374083129584,139,270,0.5541593153699697,0.7266806116643941,0.3766657449213975
42,he84189,iou,0.5,16,53,7,0.7681159420289855,0.8833333333333333,0.6973684210526315,0.8217054263565892,60,69,0.6762852986653646,0.7656059984890919,0.6291026034096415
43,he8418,iou,0.5,129,132,83,0.5057471264367817,0.6139534883720931,0.38372093023255816,0.5546218487394958,215,261,0.4343735096066497,0.7075023073138613,0.39239623766987264
44,he84192,iou,0.5,25,37,13,0.5967741935483871,0.74,0.49333333333333335,0.6607142857142857,50,62,0.5532411575317383,0.7476231858537004,0.49396531922476633
45,he84193,iou,0.5,32,46,18,0.5897435897435898,0.71875,0.4791666666666667,0.647887323943662,64,78,0.5433195233345032,0.7559228150740914,0.48975280976631275
46,he84194,iou,0.5,99,49,16,0.3310810810810811,0.7538461538461538,0.29878048780487804,0.460093896713615,65,148,0.561912360558143,0.7453939476791693,0.3429512059744535
47,he84195,iou,0.5,93,54,19,0.3673469387755102,0.7397260273972602,0.3253012048192771,0.4909090909090909,73,147,0.549039657801798,0.7422202781394676,0.3643626819957386
48,he84196,iou,0.5,56,69,23,0.552,0.75,0.46621621621621623,0.6359447004608295,92,125,0.5728915670643682,0.763855422752491,0.48576980801771313
49,he8419,iou,0.5,200,147,101,0.42363112391930835,0.592741935483871,0.328125,0.49411764705882355,248,347,0.41475425227995844,0.6997214596287734,0.3457447212283351
50,he8420,iou,0.5,104,140,31,0.5737704918032787,0.8187134502923976,0.509090909090909,0.6746987951807228,171,244,0.6152864868877924,0.7515284946986607,0.5070553699171687
51,he8421,iou,0.5,75,140,19,0.6511627906976745,0.8805031446540881,0.5982905982905983,0.7486631016042781,159,215,0.7012060393327437,0.7963697160993304,0.5962126216786431
