,image,MSE,PSNR,SSIM
494,he95339,140.26424153645834,26.561901783928562,0.50270176
495,he95340,175.93316650390625,25.731662650503285,0.5842822
496,he95341,81.39065043131511,29.614583899974072,0.6906801
497,he95360,155.85103352864584,25.769879998314625,0.70056605
498,he95361,140.2562255859375,26.687599937911987,0.60740334
499,he95362,71.84644063313802,29.728226232598054,0.47384906
500,he95363,56.17365519205729,30.59529467143726,0.5229563
501,he95364,267.95371500651044,23.567098789955168,0.48093057
502,he95365,133.71454874674478,26.857584157520414,0.5351574
503,he95366,195.156494140625,25.091129492537586,0.7226791
504,he95385,43.10713195800781,31.958813249969356,0.6020852
505,he95386,88.61185709635417,28.606795858033813,0.6286593
506,he95387,65.96966044108073,30.396195101176907,0.65416294
507,he95388,63.82640075683594,30.254182425408057,0.4807814
508,he95389,87.8289794921875,28.792004538439055,0.6609566
509,he95390,46.078948974609375,32.28496416306842,0.72121805
510,he95408,248.1750691731771,23.859292774467672,0.577841
511,he95409,63.63109842936198,30.63982604188828,0.53717446
512,he95410,68.15627034505208,30.093055247560415,0.5179526
513,he95411,69.02437337239583,29.62585605971379,0.62348396
514,he95412,75.94355773925781,29.200542046820956,0.587027
515,he95413,61.50250244140625,30.13178289643807,0.6699069
516,he95432,173.78828938802084,25.791079139614478,0.5739015
517,he95433,134.5706787109375,26.996677832570658,0.42003956
518,he95434,62.889007568359375,30.52502802164925,0.4915669
519,he95436,57.76695760091146,30.622725446030028,0.60936576
520,he95437,43.687154134114586,31.669527970421143,0.6518678
521,he95438,17.48175048828125,35.87842007556242,0.71292096
522,he95441,220.26497395833334,24.96094772315949,0.6302016
523,he95456,181.54083251953125,25.46247914239775,0.5136617
524,he95457,200.906005859375,24.984892024917343,0.46116295
525,he95458,187.94075520833334,25.4690443920432,0.4024452
526,he95459,85.09653218587239,29.149041370808607,0.4928997
527,he95460,67.32111104329427,30.308353714292522,0.6341149
528,he95461,64.99131266276042,29.872945633488143,0.61900085
529,he95462,82.30291748046875,29.62864932253271,0.69377095
530,he95463,86.56685384114583,28.60415426867837,0.6755445
531,he95480,171.3705851236979,25.92239591009819,0.47064582
532,he95481,148.89119466145834,26.426673746326323,0.50546956
533,he95483,124.2893778483073,27.311318420583724,0.5766971
534,he95484,164.5589396158854,25.873077259727346,0.5196952
535,he95485,85.05980428059895,29.149147350824766,0.58595043
536,he95487,160.27327473958334,25.966512788296487,0.6043889
537,he95504,203.954345703125,24.990510713013066,0.5007023
538,he95505,134.87939453125,27.130676529749152,0.44061342
539,he95506,167.25948079427084,25.80048870188265,0.55166554
540,he95507,207.02360026041666,25.276836013607927,0.54912776
541,he95508,258.7484537760417,23.96118483415097,0.54552764
542,he95509,221.46455891927084,24.97976173210454,0.5335056
543,he95510,147.19743855794272,26.58758063339199,0.5915429
544,he95528,312.3853352864583,22.93048765610748,0.56910896
545,he95529,123.79266357421875,27.346519648956644,0.6137812
546,he95530,219.29825846354166,24.69080655541617,0.47958007
547,he95531,227.6320597330729,24.73626068678645,0.5400621
548,he95532,195.2753702799479,25.527322279973838,0.5745644
549,he95533,476.441162109375,21.23201645054071,0.47869292
550,he95534,410.8745524088542,22.296716906660038,0.5215234
551,he95553,143.72198486328125,26.58247139573185,0.5992198
552,he95554,111.36531575520833,28.072448778607807,0.4600053
553,he95556,265.38734944661456,23.992351361277983,0.54574245
554,he95557,318.9018961588542,23.208399867240672,0.48766044
555,he95558,342.0365397135417,23.070722723093237,0.47319594
556,he95559,356.7435709635417,22.668116290685646,0.5349826
557,he95578,302.9395345052083,23.420713214066616,0.49620828
558,he95579,324.12632242838544,22.936669907013176,0.45022383
559,he95580,422.762451171875,21.846276310384457,0.41883847
560,he95581,303.1656087239583,23.632130492584963,0.579894
561,he95582,416.8465169270833,21.859356834126412,0.51313883
562,he95583,364.6146647135417,22.369226665587092,0.51817596
563,he95602,359.2884114583333,22.777621685983252,0.46655682
564,he95603,354.24560546875,22.718126124045348,0.5187728
565,he95604,279.8970540364583,23.774665076648063,0.4927262
566,he95608,362.5140380859375,22.326674295597012,0.5592957
567,he95628,343.36865234375,22.743052540761752,0.5383534
568,he95629,249.79044596354166,24.268045869414262,0.5338515
569,he95906,234.42293294270834,24.351560495837262,0.53728706
570,he95907,274.45399983723956,23.487208311255184,0.47159302
571,he95926,248.65203857421875,24.312506691351228,0.55295736
572,he95927,289.6266682942708,23.37043898744539,0.44304454
573,he95928,241.73758951822916,24.29255794127705,0.5469714
574,he95929,145.3182169596354,26.96625080485446,0.5004539
575,he95930,122.74442545572917,27.213443772733285,0.6179465
576,he95931,321.0310872395833,22.939629575184362,0.5917959
577,he95946,281.0275472005208,23.798413375440717,0.44312534
578,he95947,306.5000813802083,23.309735476182716,0.55260354
579,he95948,313.48496500651044,23.211372653971438,0.5472091
580,he95949,265.14272054036456,23.93649228041147,0.47836006
581,he95950,209.58036295572916,24.859502285574973,0.6176668
582,he95951,126.92059326171875,27.023571075327375,0.47835228
583,he95952,76.03307088216145,29.145552177172593,0.6124286
584,he95968,270.68572998046875,23.69303151102494,0.6028776
585,he95969,294.9265543619792,23.421669455512482,0.5471694
586,he95970,282.0452067057292,23.613544840716507,0.5042258
587,he95971,160.71392822265625,26.4002865084148,0.5410558
588,he95972,172.13031005859375,25.816790428136493,0.54455024
589,he95973,180.7862548828125,25.520304372848504,0.5221219
590,he95974,149.07413736979166,26.30627708269823,0.52061564
591,he95975,107.7070821126302,28.028128858614988,0.54757935
592,he95992,270.40321858723956,23.835821910397005,0.52363473
593,he95993,212.06070963541666,24.933549382334913,0.55712765
594,he95996,98.54294840494792,28.049846391110936,0.5632583
595,he95997,177.32527669270834,25.747965621242507,0.5460461
596,he96014,113.46016438802083,27.979345966033776,0.5644869
597,he96015,127.0693359375,27.0623224656297,0.5814047
598,he96019,184.8267822265625,25.58886750554742,0.44033733
599,he96020,143.82839965820312,26.328815444185413,0.60104084
600,he96036,137.08548990885416,26.87859231836544,0.65263975
601,he96037,69.47203063964844,29.478807284388978,0.6257929
602,he96038,63.215789794921875,30.308985059330155,0.60562056
603,he96039,68.3766581217448,29.75497393636164,0.5997808
604,he96040,172.38277180989584,25.56993448845146,0.5496946
605,he96041,187.17069498697916,25.549951416880372,0.57481354
606,he96042,105.3639424641927,28.322207205482044,0.61463124
607,he96057,93.39369710286458,28.285296654790905,0.602222
608,he96059,37.071136474609375,32.248497849357406,0.6335824
609,he96060,73.75422668457031,29.129795948565548,0.5784395
610,he96061,44.26654052734375,31.798445608464224,0.52337825
611,he96062,59.20416259765625,30.482606562539083,0.475556
612,he96063,103.64265950520833,27.87036171956781,0.5473176
613,he96064,182.33929443359375,25.308219655311404,0.6549717
614,he96080,31.331329345703125,33.19147396660027,0.63035685
615,he96081,35.404337565104164,32.86447433738742,0.6549988
616,he96082,56.48565165201823,30.473734507473754,0.66633797
617,he96083,63.40730285644531,29.830213472152728,0.5980701
618,he96084,46.40680440266927,31.677531111471616,0.537268
619,he96085,158.59163411458334,25.92458001811064,0.650041
620,he96086,268.2349853515625,23.843065502297254,0.6437343
621,he96103,41.4435780843099,31.93361653588172,0.64050037
622,he96104,63.8404286702474,29.97608958471332,0.57151955
623,he96105,80.4648946126302,29.20210010429065,0.54249984
624,he96106,81.97555033365886,29.0934147313904,0.52765614
625,he96107,46.20021057128906,31.83592849316041,0.6567268
626,he96108,62.95953369140625,30.474709796913913,0.6303399
627,he96125,86.19034830729167,28.420603921918893,0.6035796
628,he96126,103.14715576171875,28.0233619529032,0.5110286
629,he96127,84.58345031738281,29.052750395925102,0.4229722
630,he96128,94.66563924153645,28.228017681368897,0.4120473
631,he96129,90.46547444661458,28.702206708405523,0.55323696
632,he96130,157.11641438802084,26.192004538426737,0.6524361
633,he96147,82.46116638183594,28.817293470214366,0.5818734
634,he96148,145.32750447591147,26.466295223694345,0.508436
635,he96149,245.5878702799479,24.18739693261103,0.45964488
636,he96150,109.80662027994792,27.941093137490874,0.3330349
637,he96151,91.04142252604167,28.37245310776739,0.3222892
638,he96168,87.14589436848958,28.646498806698226,0.6575305
639,he96170,114.88525390625,27.302589553556537,0.5861679
640,he96171,165.39306640625,25.933716617105517,0.52125245
641,he96172,169.16202799479166,25.7829259012026,0.4776903
642,he96173,66.53373718261719,30.089502082433775,0.49201223
643,he96186,123.46449788411458,27.394363657565364,0.7480189
644,he96191,166.45487467447916,26.227251061032874,0.6792906
645,he96192,138.09187825520834,26.544877862148383,0.6721263
646,he96212,100.37491861979167,27.876128878280863,0.6459284
647,he96213,156.66277058919272,26.20934275719208,0.6660572
648,he9624,257.00148518880206,23.946105486308102,0.6530716
649,he96252,107.7347412109375,27.92129376694284,0.65681154
650,he96257,163.77543131510416,25.801699423926866,0.70827323
651,he9625,144.6203409830729,26.509183250276166,0.6193006
652,he96274,106.41078694661458,28.163294814123994,0.61947125
653,he96275,54.48089599609375,30.808457042540436,0.6748465
654,he9627,211.9993896484375,24.97194091169517,0.6703747
655,he9628,149.67172241210938,26.997853902321914,0.71109277
656,he96296,105.60774739583333,27.856729201558803,0.7053955
657,he96298,72.45334879557292,29.246085285316337,0.6666465
658,he96300,112.77195231119792,27.489459203471146,0.75772816
659,he96319,132.0916544596354,26.985689021308602,0.7564581
660,he96342,48.634602864583336,31.385611046104916,0.7227219
661,he96363,76.14660135904948,29.50227395830199,0.7416411
662,he96364,61.08150736490885,30.145787282713833,0.6901981
663,he96365,61.22978210449219,30.130055667828497,0.60212445
664,he96366,119.55100504557292,27.245527637705532,0.72380376
