,image,MSE,PSNR,SSIM
210,he89248,207.37455240885416,24.952345224915845,0.61015254
211,he89250,251.7571818033854,24.19747404854446,0.5761284
212,he89251,392.3028157552083,22.213391912560464,0.5058479
213,he89252,316.9922281901042,23.07331194221441,0.5722265
214,he89257,206.2110392252604,24.73594983139008,0.697915
215,he89269,70.27566019694011,29.439240500109957,0.7375624
216,he89271,58.02624003092448,30.055967606989086,0.681207
217,he89272,116.81294759114583,27.308427594745638,0.57065094
218,he89273,108.15622965494792,27.867556321380384,0.47065377
219,he89274,103.4379374186198,28.13238041248863,0.5058692
220,he89275,126.79561360677083,27.22700480046195,0.48572645
221,he89276,106.3992919921875,27.6753105497949,0.51749533
222,he89277,185.59615071614584,25.38969360022915,0.7428977
223,he89278,313.05784098307294,23.283693761092174,0.61310154
224,he89307,192.20145670572916,25.127550017305076,0.6575627
225,he89324,105.40206909179688,28.06209227701711,0.7220318
226,he89325,88.471435546875,28.917914376725946,0.7106328
227,he89326,32.429901123046875,33.128060390677234,0.7068789
228,he89327,80.17312113444011,28.933420060446142,0.6615899
229,he89328,86.96573893229167,28.79162451384207,0.50120515
230,he89329,171.19901529947916,25.789813391410274,0.42151296
231,he89330,132.2738037109375,27.145061824995942,0.58436996
232,he89331,270.2467447916667,23.70166788500379,0.7307126
233,he89332,253.8968505859375,23.930093766439164,0.6404634
234,he89351,236.32771809895834,24.325221787083613,0.71494144
235,he89357,194.30126953125,25.07867914156179,0.6536198
236,he89362,190.85843912760416,25.346329565994363,0.71573853
237,he89378,322.36627197265625,22.931237740055046,0.71061915
238,he89383,112.98480224609375,27.57925630975528,0.63484544
239,he89405,239.07792154947916,24.25643714852987,0.7094694
240,he89406,137.9640096028646,26.81458632732148,0.6610134
241,he89409,227.8545125325521,24.41979224835488,0.67895937
242,he89410,257.49949137369794,23.92762581807507,0.73691607
243,he89435,9.225758870442709,38.62292618253495,0.72772104
244,he89436,14.747100830078125,36.23241784666511,0.7524831
245,he89437,75.05126953125,29.01244542344045,0.74709034
246,he89457,93.82769775390625,28.454945606481434,0.60057014
247,he89458,45.82972208658854,32.41577808565833,0.68009824
248,he89459,91.85028076171875,28.266794078534872,0.6950497
249,he89460,148.86212158203125,26.37174205908987,0.63949186
250,he89461,53.0423838297526,31.07742095189127,0.6996495
251,he89464,284.90110270182294,23.721413151398238,0.72081614
252,he89469,306.1980794270833,23.32238190511424,0.723501
253,he89488,267.27496337890625,23.806037382754077,0.7148188
254,he89489,221.68853759765625,24.800074239806122,0.66508085
255,he89490,204.6995849609375,25.033220291005314,0.7277003
256,he89511,88.86566162109375,28.78215778752823,0.37952328
257,he89512,62.47448221842448,30.113158125020092,0.5715336
258,he89513,89.54669189453125,28.432212545351597,0.6922279
259,he89523,370.0157470703125,22.3628893741811,0.75750417
260,he89539,366.2178141276042,22.601622913147935,0.73978806
261,he89540,384.0020751953125,22.18306624424821,0.7391495
262,he89541,353.6451009114583,22.58451256358604,0.7345242
263,he89542,323.315185546875,22.953022984570293,0.7215347
264,he89543,366.2587890625,22.493154656386398,0.6967351
265,he89544,261.70220947265625,23.989580656756395,0.7520445
266,he89564,95.74078369140625,28.51340247072708,0.36184946
267,he89565,133.74287923177084,26.796796141805807,0.42476583
268,he89566,131.00732421875,26.86107574731023,0.48037982
269,he89570,87.097412109375,28.384849661911446,0.68522525
