,image,criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality
16,he84092,iou,0.5,27,12,10,0.3076923076923077,0.5454545454545454,0.24489795918367346,0.39344262295081966,22,39,0.40065470608797943,0.7345336278279623,0.28899683717821467
17,he84093,iou,0.5,18,22,19,0.55,0.5365853658536586,0.3728813559322034,0.5432098765432098,41,40,0.4152163994021532,0.7738123807040128,0.4203425277898341
18,he84094,iou,0.5,47,44,57,0.4835164835164835,0.43564356435643564,0.2972972972972973,0.4583333333333333,101,91,0.29815505754829635,0.6844013820994984,0.31368396679560345
19,he84095,iou,0.5,34,33,41,0.4925373134328358,0.44594594594594594,0.3055555555555556,0.46808510638297873,74,67,0.31398489668562607,0.7040873440829191,0.3295727993579621
20,he84096,iou,0.5,8,5,7,0.38461538461538464,0.4166666666666667,0.25,0.4,12,13,0.2915640076001485,0.6997536182403564,0.2799014472961426
21,he84104,iou,0.5,50,99,80,0.6644295302013423,0.553072625698324,0.43231441048034935,0.6036585365853658,179,149,0.40768117212050453,0.7371205031269729,0.44496908420469705
22,he84105,iou,0.5,87,67,85,0.43506493506493504,0.4407894736842105,0.2803347280334728,0.43790849673202614,152,154,0.3088798021015368,0.7007422376034865,0.30686097986557903
23,he84106,iou,0.5,60,38,65,0.3877551020408163,0.36893203883495146,0.2331288343558282,0.3781094527363184,103,98,0.26196346468138465,0.7100588647942794,0.2684799687779365
24,he84107,iou,0.5,32,33,46,0.5076923076923077,0.4177215189873418,0.2972972972972973,0.4583333333333333,79,65,0.29478259026249753,0.7056916554768881,0.3234420087602403
25,he84108,iou,0.5,19,23,41,0.5476190476190477,0.359375,0.27710843373493976,0.4339622641509434,64,42,0.24875113368034363,0.6921770676322605,0.30037872746305644
26,he84109,iou,0.5,18,17,28,0.4857142857142857,0.37777777777777777,0.2698412698412698,0.425,45,35,0.27397505442301434,0.7252280852373909,0.3082219362258911
27,he84110,iou,0.5,37,21,26,0.3620689655172414,0.44680851063829785,0.25,0.4,47,58,0.2949263592983814,0.6600732803344727,0.26402931213378905
28,he84111,iou,0.5,26,24,36,0.48,0.4,0.27906976744186046,0.43636363636363634,60,50,0.28710931142171225,0.7177732785542806,0.31321015791459517
29,he84112,iou,0.5,37,44,30,0.5432098765432098,0.5945945945945946,0.3963963963963964,0.567741935483871,74,81,0.4293887421891496,0.7221537936817516,0.4099969925418977
30,he84113,iou,0.5,62,73,58,0.5407407407407407,0.5572519083969466,0.37823834196891193,0.5488721804511278,131,135,0.3827721690403596,0.686892522524481,0.3770161965735873
31,he84136,iou,0.5,45,41,54,0.47674418604651164,0.43157894736842106,0.29285714285714287,0.4530386740331492,95,86,0.2985808121530633,0.6918335891351467,0.3134273718733814
32,he84137,iou,0.5,15,16,8,0.5161290322580645,0.6666666666666666,0.41025641025641024,0.5818181818181818,24,31,0.47710227966308594,0.7156534194946289,0.4163801713423295
33,he84147,iou,0.5,52,100,72,0.6578947368421053,0.5813953488372093,0.44642857142857145,0.6172839506172839,172,152,0.4146311116773029,0.7131655120849609,0.44022562474380306
34,he84148,iou,0.5,24,28,26,0.5384615384615384,0.5185185185185185,0.358974358974359,0.5283018867924528,54,52,0.368461220352738,0.7106037821088519,0.3754133188499595
35,he84150,iou,0.5,12,21,29,0.6363636363636364,0.42,0.3387096774193548,0.5060240963855421,50,33,0.3196441650390625,0.7610575358072916,0.3851134518542922
36,he84152,iou,0.5,70,64,51,0.47761194029850745,0.5565217391304348,0.34594594594594597,0.5140562248995983,115,134,0.39742962381114133,0.7141313552856445,0.3671036685805723
37,he84153,iou,0.5,87,49,53,0.3602941176470588,0.4803921568627451,0.25925925925925924,0.4117647058823529,102,136,0.32316967085296033,0.6727205393265705,0.2770025750168231
38,he84154,iou,0.5,65,52,49,0.4444444444444444,0.5148514851485149,0.3132530120481928,0.47706422018348627,101,117,0.3562950663047262,0.692034648014949,0.330144969695205
39,he8415,iou,0.5,55,35,44,0.3888888888888889,0.4430379746835443,0.26119402985074625,0.41420118343195267,79,90,0.2940840902207773,0.663789803641183,0.2749425222182415
40,he8416,iou,0.5,80,62,56,0.43661971830985913,0.5254237288135594,0.31313131313131315,0.47692307692307695,118,142,0.3451560392218121,0.6569098810995778,0.3132954817551833
41,he8417,iou,0.5,122,64,75,0.34408602150537637,0.460431654676259,0.24521072796934865,0.39384615384615385,139,186,0.3139868537299067,0.6819401979446411,0.2685795241135817
42,he84189,iou,0.5,15,37,23,0.7115384615384616,0.6166666666666667,0.49333333333333335,0.6607142857142857,60,52,0.455811882019043,0.7391544032741237,0.48836987359183176
43,he8418,iou,0.5,121,98,117,0.4474885844748858,0.4558139534883721,0.2916666666666667,0.45161290322580644,215,219,0.2956547581872275,0.6486303368393256,0.2929298295403406
44,he84192,iou,0.5,22,20,30,0.47619047619047616,0.4,0.2777777777777778,0.43478260869565216,50,42,0.30436923980712893,0.7609230995178222,0.33083613022514013
45,he84193,iou,0.5,27,34,30,0.5573770491803278,0.53125,0.37362637362637363,0.544,64,61,0.39629706740379333,0.7459709504071403,0.40580819702148435
46,he84194,iou,0.5,58,43,22,0.42574257425742573,0.6615384615384615,0.34959349593495936,0.5180722891566265,65,101,0.48708792466383716,0.7362957000732422,0.3814543988331255
47,he84195,iou,0.5,51,36,37,0.41379310344827586,0.4931506849315068,0.2903225806451613,0.45,73,87,0.3494329321874331,0.7085723347134061,0.3188575506210327
48,he84196,iou,0.5,44,42,50,0.4883720930232558,0.45652173913043476,0.3088235294117647,0.47191011235955055,92,86,0.328754881153936,0.7201297396705264,0.339836506361372
49,he8419,iou,0.5,153,92,156,0.37551020408163266,0.3709677419354839,0.22942643391521197,0.37322515212981744,248,245,0.24594066989037297,0.6629705014436141,0.24743726625887424
50,he8420,iou,0.5,72,96,75,0.5714285714285714,0.5614035087719298,0.3950617283950617,0.5663716814159292,171,168,0.38913490340026496,0.693146546681722,0.39257857511177174
51,he8421,iou,0.5,53,100,59,0.6535947712418301,0.6289308176100629,0.4716981132075472,0.6410256410256411,159,153,0.45945907688740667,0.7305399322509766,0.4682948283660106
52,he84230,iou,0.5,34,49,36,0.5903614457831325,0.5764705882352941,0.4117647058823529,0.5833333333333334,85,83,0.42238765043370863,0.732713271160515,0.42741607484363375
53,he84231,iou,0.5,91,43,65,0.3208955223880597,0.39814814814814814,0.21608040201005024,0.35537190082644626,108,134,0.2722351286146376,0.6837533462879269,0.24298672636678395
54,he84232,iou,0.5,34,28,34,0.45161290322580644,0.45161290322580644,0.2916666666666667,0.45161290322580644,62,62,0.31535622381394907,0.6982887813023159,0.31535622381394907
55,he84236,iou,0.5,30,37,19,0.5522388059701493,0.6607142857142857,0.43023255813953487,0.6016260162601627,56,67,0.46786958830697195,0.7081269444646062,0.42602759260472245
56,he84237,iou,0.5,36,29,16,0.4461538461538462,0.6444444444444445,0.35802469135802467,0.5272727272727272,45,65,0.4777183532714844,0.7412870999040275,0.39086047085848724
57,he84238,iou,0.5,45,84,72,0.6511627906976745,0.5384615384615384,0.417910447761194,0.5894736842105263,156,129,0.3782838185628255,0.7025270916166759,0.4141212329529879
58,he84271,iou,0.5,36,51,38,0.5862068965517241,0.5730337078651685,0.408,0.5795454545454546,89,87,0.4164667450979854,0.7267753002690334,0.42119932174682617
59,he84272,iou,0.5,38,43,33,0.5308641975308642,0.5657894736842105,0.37719298245614036,0.5477707006369427,76,81,0.39917714972245066,0.7055224041606105,0.3864645016421178
